symbol,value
€,0
–,1
‚,2
…,3
ƒ,4
ˆ,5
œ,6
„,7
—,8
’,9
˜,10
”,11
”,12
Š,13
œ,14
œ,15
‡,16
”,17
™,18
‚,19
Œ,20
š,21
Ž,22
Š,23
›,24
Ÿ,25
…,26
˜,27
ƒ,28
‰,29
“,30
‰,31
Ÿ,32
›,33
š,34
“,35
’,36
œ,37
„,38
™,39
—,40
˜,41
†,42
™,43
Ž,44
…,45
…,46
œ,47
–,48
–,49
†,50
’,51
‹,52
Š,53
€,54
™,55
‡,56
„,57
Š,58
’,59
†,60
’,61
Ž,62
‡,63
œ,64
€,65
Š,66
Ž,67
š,68
’,69
—,70
Œ,71
™,72
”,73
‚,74
œ,75
Œ,76
“,77
˜,78
Ž,79
Ž,80
™,81
Ž,82
Œ,83
Š,84
“,85
‹,86
‡,87
—,88
‘,89
œ,90
†,91
Ž,92
ž,93
œ,94
‡,95
Š,96
˜,97
…,98
’,99
‚,100
”,101
™,102
“,103
ˆ,104
’,105
‡,106
‚,107
ƒ,108
ˆ,109
ƒ,110
œ,111
—,112
˜,113
‚,114
™,115
œ,116
™,117
—,118
—,119
”,120
ƒ,121
Œ,122
™,123
ˆ,124
„,125
Œ,126
Ÿ,127
‘,128
Ž,129
ƒ,130
–,131
›,132
„,133
–,134
Ÿ,135
•,136
…,137
‡,138
‡,139
‹,140
ƒ,141
—,142
‚,143
–,144
Œ,145
“,146
’,147
Ÿ,148
˜,149
–,150
…,151
™,152
Ž,153
‰,154
Š,155
ƒ,156
›,157
‹,158
œ,159
‰,160
š,161
‹,162
Ÿ,163
“,164
‚,165
–,166
”,167
“,168
”,169
Ž,170
€,171
›,172
”,173
ƒ,174
›,175
œ,176
Ÿ,177
’,178
Ÿ,179
š,180
’,181
‰,182
’,183
•,184
†,185
Ž,186
‘,187
›,188
„,189
Ÿ,190
‘,191
Š,192
“,193
‘,194
„,195
„,196
’,197
‹,198
†,199
š,200
‚,201
—,202
’,203
†,204
”,205
Œ,206
…,207
€,208
“,209
–,210
š,211
†,212
†,213
ž,214
—,215
…,216
š,217
Ž,218
”,219
†,220
•,221
œ,222
„,223
’,224
™,225
“,226
’,227
‡,228
—,229
Ÿ,230
‚,231
…,232
Ÿ,233
›,234
‚,235
Š,236
–,237
†,238
„,239
Œ,240
’,241
ˆ,242
…,243
™,244
€,245
†,246
…,247
“,248
Œ,249
ˆ,250
Œ,251
’,252
˜,253
‹,254
ž,255
Š,256
’,257
Œ,258
‡,259
•,260
“,261
€,262
Š,263
ƒ,264
š,265
‹,266
“,267
ƒ,268
˜,269
™,270
ž,271
˜,272
Œ,273
”,274
Ÿ,275
—,276
”,277
Œ,278
Œ,279
‚,280
—,281
‡,282
š,283
”,284
‰,285
“,286
Š,287
œ,288
Ÿ,289
…,290
Œ,291
ƒ,292
†,293
‘,294
’,295
›,296
–,297
”,298
ƒ,299
€,300
œ,301
†,302
†,303
“,304
‹,305
„,306
Œ,307
•,308
›,309
’,310
‚,311
†,312
•,313
Œ,314
˜,315
‰,316
Š,317
”,318
—,319
˜,320
ˆ,321
†,322
–,323
›,324
“,325
†,326
œ,327
‰,328
ƒ,329
‘,330
Ž,331
‚,332
“,333
ž,334
•,335
€,336
š,337
†,338
’,339
–,340
’,341
˜,342
“,343
…,344
˜,345
•,346
‘,347
œ,348
œ,349
…,350
‚,351
Ž,352
›,353
Œ,354
š,355
›,356
“,357
…,358
•,359
Œ,360
‹,361
•,362
’,363
Ž,364
€,365
Ÿ,366
“,367
”,368
Ÿ,369
ˆ,370
”,371
“,372
˜,373
˜,374
‹,375
›,376
‰,377
–,378
‚,379
–,380
†,381
•,382
’,383
—,384
ˆ,385
™,386
“,387
“,388
‰,389
€,390
‡,391
‡,392
œ,393
–,394
ˆ,395
‡,396
”,397
‡,398
˜,399
™,400
“,401
…,402
‘,403
˜,404
”,405
‹,406
‚,407
ƒ,408
…,409
•,410
‘,411
™,412
›,413
ž,414
‹,415
’,416
’,417
ž,418
•,419
ž,420
–,421
ƒ,422
€,423
˜,424
ž,425
–,426
…,427
‡,428
™,429
š,430
‹,431
’,432
‚,433
Š,434
˜,435
œ,436
“,437
Ÿ,438
’,439
™,440
€,441
†,442
Œ,443
Š,444
“,445
Š,446
†,447
‚,448
‘,449
‚,450
š,451
‹,452
š,453
Ž,454
†,455
Ž,456
“,457
Š,458
Š,459
‚,460
Œ,461
“,462
‡,463
Œ,464
•,465
Š,466
Ž,467
–,468
—,469
š,470
†,471
ž,472
Œ,473
œ,474
“,475
‹,476
œ,477
€,478
„,479
•,480
‰,481
‡,482
ˆ,483
Ž,484
™,485
€,486
ƒ,487
š,488
Ÿ,489
‰,490
„,491
‹,492
œ,493
„,494
ƒ,495
ž,496
œ,497
„,498
Œ,499
